Plan #,Plan Description,Goal #,Goal Description,Robot speed,Grip Orientation,Gripper grabbing position,Gripper orientation,Gripper strength,Placing height
1,Pick up the blue pen.,1,Place a pen into a pen holder.,Normal,Top Grip,Middle,Horizontal,Medium,
2,Place the blue pen in the pen holder.,1,Place a pen into a pen holder.,Normal,,,,,Medium
1,Pick up the first paper cup.,2,Stack two paper cups into a single column.,Normal,Top Grip,Middle,Horizontal,Medium,
2,Place the first paper cup on top of the second paper cup.,2,Stack two paper cups into a single column.,Normal,,,,,Medium
3,Pick up the second paper cup.,2,Stack two paper cups into a single column.,Normal,Top Grip,Middle,Horizontal,Medium,
4,Place the second paper cup on top of the first paper cup.,2,Stack two paper cups into a single column.,Normal,,,,,Medium
1,Pick up the red die.,3,Stack three dice into a single column.,Normal,Top Grip,Middle,Horizontal,Medium,
2,Place the red die on top of the yellow die.,3,Stack three dice into a single column.,Normal,,,,,Medium
3,Pick up the green die.,3,Stack three dice into a single column.,Normal,Top Grip,Middle,Horizontal,Medium,
4,Place the green die on top of the red die.,3,Stack three dice into a single column.,Normal,,,,,Medium
1,Pick up the baseball.,4,Pick up a ball and place it into a bowl.,Normal,Top Grip,Middle,Horizontal,Medium,
2,Place the baseball in the plastic container.,4,Pick up a ball and place it into a bowl.,Normal,,,,,Medium
1,Pick up the red toy car.,5,Pick up and drop a toy car into a paper plate.,Normal,Top Grip,Middle,Horizontal,Medium,
2,Place the red toy car in the blue plastic plate.,5,Pick up and drop a toy car into a paper plate.,Normal,,,,,Medium
1,Pick up the sponge.,6,Pick up a sponge and place it into a box.,Normal,Top Grip,Middle,Horizontal,Medium,
2,Place the sponge in the box.,6,Pick up a sponge and place it into a box.,Normal,,,,,Medium
1,Pick up the hammer.,7,Move hammer into green basket.,Normal,Top Grip,Middle,Horizontal,Medium,
2,Place the hammer in the green basket.,7,Move hammer into green basket.,Normal,,,,,Medium
1,Pick up the tennis ball.,8,Move tennis ball on top of bottle.,Normal,Top Grip,Middle,Horizontal,Weak,
2,Pick up the travel mug.,8,Move tennis ball on top of bottle.,Normal,Top Grip,Middle,Horizontal,Medium,
3,Place the tennis ball on top of the travel mug.,8,Move tennis ball on top of bottle.,Normal,,,,,Medium
1,Pick up the pink cup.,9,Align two cups in a straight line.,Normal,Lateral Grip,Middle,Horizontal,Medium,
2,Place the pink cup in line with the blue cup.,9,Align two cups in a straight line.,Normal,,,,,Medium
3,Pick up the blue cup.,9,Align two cups in a straight line.,Normal,Lateral Grip,Middle,Horizontal,Medium,
4,Place the blue cup in line with the pink cup.,9,Align two cups in a straight line.,Normal,,,,,Medium
1,Pick up the red and black tumbler.,10,Set the bottle upright.,Normal,Lateral Grip,Middle,Horizontal,Medium,
2,Place the tumbler upright. ,10,Set the bottle upright.,Normal,,,,,Medium
